"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKS1B",2.5621717559162e-37,-0.398050541602946,0.517,0.622,8.63298151438404e-33
"SPG7",3.39761688397294e-37,-0.584244025000216,0.218,0.324,1.14479303288584e-32
"NFIX",4.49591102732451e-37,0.412659573826843,0.559,0.462,1.51485226154672e-32
"NPTN",4.76627233781281e-37,0.365827145036273,0.601,0.501,1.60594780150265e-32
"TPGS1",6.83603735747226e-37,1.61128078713701,0.071,0.024,2.3033344272267e-32
"RP11-138A9.1",8.33189278673136e-37,-0.872581974908364,0.125,0.21,2.80734795556126e-32
"ACTN1",3.0418818752067e-36,-0.510077259442491,0.324,0.434,1.02493167903214e-31
"C19orf60",4.1317644104958e-36,0.513877590716199,0.346,0.244,1.39215670047245e-31
"KLC2",1.20104317677602e-35,0.480370296347866,0.344,0.238,4.04679487982911e-31
"PSAP",1.24219881283419e-35,0.240357135840143,0.795,0.72,4.18546467996351e-31
"TSPAN7",1.47228252070474e-35,0.274424540666241,0.759,0.685,4.96070872526256e-31
"RPS3A",1.47436878132612e-35,-0.660302222313958,0.207,0.305,4.96773817180024e-31
"TCF25",2.51301965834609e-35,-0.419864455288554,0.473,0.574,8.4673684368313e-31
"RORB",3.35506638763741e-35,0.24196553633333,0.864,0.801,1.13045606865055e-30
"CFAP36",5.12946498212301e-35,-0.759097639168261,0.118,0.202,1.72832193107653e-30
"LINC00599",5.26330228094933e-35,-0.423517352885807,0.513,0.61,1.77341707054307e-30
"PEA15",9.25367224056661e-35,0.473514503422171,0.481,0.392,3.11793232473651e-30
"THUMPD3-AS1",1.6280840736203e-34,-0.565757014718861,0.295,0.394,5.48566647765624e-30
"HOMER1",2.02909914402673e-34,-0.576571029354005,0.241,0.343,6.83684665588367e-30
"RPS27",2.40953116289519e-34,-0.354702024584882,0.647,0.703,8.11867430025904e-30
"NENF",3.5463836065728e-34,0.86358937172024,0.172,0.099,1.19491849239864e-29
"HRH2",3.69071364170972e-34,-0.886515899075457,0.08,0.153,1.24354905443767e-29
"CIRBP",5.2617948428216e-34,-0.336848606895551,0.46,0.588,1.77290915434031e-29
"VGF",5.72488548730376e-34,-1.02539263577311,0.086,0.157,1.92894291609213e-29
"CADPS",6.5491440535804e-34,-0.504734940774671,0.342,0.448,2.20666859741338e-29
"UQCRB",7.15050056131743e-34,-0.388145817125028,0.464,0.564,2.4092896591303e-29
"PRKAR1B",7.29246559037517e-34,0.275322081124827,0.754,0.678,2.45712335602101e-29
"TTC14",8.61020718122495e-34,-0.426266861273889,0.472,0.568,2.90112320764193e-29
"SCPEP1",1.11234382405779e-33,-0.70699195676278,0.156,0.243,3.7479312807803e-29
"BOD1L1",1.19397965104976e-33,-0.593755230961379,0.262,0.363,4.02299503624707e-29
"MZT2B",1.25616439155903e-33,0.48497880039285,0.372,0.278,4.23252030091901e-29
"TMSB10",1.37946770338097e-33,0.228399827554598,0.902,0.829,4.64797847977185e-29
"CHN1",1.47988857807924e-33,0.15033392761746,0.966,0.949,4.9863365749802e-29
"GPC1",1.50303994123701e-33,-0.48913017674235,0.32,0.428,5.06434277800398e-29
"RPS15A",1.59983787861925e-33,-0.702502910395803,0.179,0.27,5.39049374821971e-29
"KLC1",1.61984008770592e-33,0.269302287115424,0.747,0.678,5.45788919151634e-29
"RAB6B",3.19590384612768e-33,0.335658800873757,0.652,0.572,1.07682784191426e-28
"ATP5G2",3.48889997130594e-33,0.506276079352378,0.389,0.301,1.17554995633182e-28
"UNC13A",4.75014105922798e-33,-0.489345836041754,0.291,0.398,1.60051252849628e-28
"COX5A",1.47599912323111e-32,0.786331431258626,0.196,0.122,4.97323144581491e-28
"BSG",1.48195671383414e-32,0.383114490832791,0.552,0.469,4.99330495159274e-28
"TSC22D1",2.15505295593936e-32,0.301466767149695,0.703,0.641,7.26123542974208e-28
