"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KBTBD6",0.863956973376406,0.339138894050637,0.049,0.045,1
"TRNP1",0.864964049015677,-0.253710105842648,0.012,0.015,1
"CDKN2C",0.864964049015677,0.106964005474977,0.012,0.015,1
"MRPL37",0.864964049015677,0.452847412169001,0.012,0.015,1
"NME7",0.864964049015677,0.312419652975179,0.012,0.015,1
"TTC21B",0.864964049015677,0.588197244553529,0.012,0.015,1
"CTD-2012J19.3",0.864964049015677,0.118419980380021,0.012,0.015,1
"SUPT3H",0.864964049015677,0.108635493479619,0.012,0.015,1
"L3MBTL3",0.864964049015677,0.727761340603462,0.012,0.015,1
"DUS4L",0.864964049015677,0.595302433461177,0.012,0.015,1
"COPG2",0.864964049015677,-0.351331060045195,0.012,0.015,1
"KIAA1549",0.864964049015677,0.378817104728769,0.012,0.015,1
"ZNF16",0.864964049015677,0.351660360323154,0.012,0.015,1
"RP11-120J1.1",0.864964049015677,0.301612979599185,0.012,0.015,1
"PPRC1",0.864964049015677,0.597831696494675,0.012,0.015,1
"RP1-267D11.6",0.864964049015677,0.546960364636444,0.012,0.015,1
"TGDS",0.864964049015677,0.334727626125277,0.012,0.015,1
"CAPN3",0.864964049015677,0.178571548917594,0.012,0.015,1
"ZNF263",0.864964049015677,0.116634305386227,0.012,0.015,1
"GINS2",0.864964049015677,0.208096125960776,0.012,0.015,1
"PPM1E",0.864964049015677,0.270398611648993,0.012,0.015,1
"PTRH2",0.864964049015677,0.131284395811039,0.012,0.015,1
"AAR2",0.864964049015677,0.406359177547371,0.012,0.015,1
"C19orf68",0.864964049015677,0.168936618299899,0.012,0.015,1
"MSMO1",0.865120175699955,-0.15704190810379,0.148,0.138,1
"TMEM63B",0.865205772329096,-0.420963115700841,0.086,0.078,1
"GKAP1",0.8656871037139,-0.188343052338607,0.049,0.054,1
"AP1S1",0.866010096026804,0.15125531337318,0.062,0.057,1
"ACBD4",0.866073303936208,0.174437259476204,0.037,0.042,1
"OSBPL3",0.866088693190411,0.266368853448338,0.037,0.033,1
